product_name,category_large,category_medium,item_type,grocery_item_name,brand_name
[마이너피겨스] 유기농 오트음료,음료,주스,BEVERAGE,오트음료,마이너피겨스
[마이셰프] 찹스테이크,간편식,밀키트,RTC_MEAL,밀키트,마이셰프
[건강한우리집비옴] 생 아몬드 분말,조미료,가루분말,SAUCE_SEASONING,아몬드 분말,건강한우리집비옴
[김구원선생] 매일 마시는 국산 콩물,채소/곡물류,콩/두부,SIMPLE_PROCESSED,콩물,김구원선생
스코티시 리더 슈프림,술,기타 주류,ALCOHOL,위스키,스코티시
스프링 시드 비올라 쉬라즈,술,와인,ALCOHOL,레드 와인,스프링 시드 와인즈
[KF365] 닭가슴살 샤브샤브 돌돌말이 (냉동),육류/계란,닭고기,RAW_MEAT,닭가슴살,KF365
[RARE : 레어] 1++ 한우 차돌박이 슬라이스,육류/계란,소고기,RAW_MEAT,차돌박이,RARE : 레어
[램테이블] 호주산 프렌치랙,육류/계란,기타,UNKNOWN,프렌치랙,램테이블
[건어물상회] 국물용멸치,수산물,멸치/건어물,DRIED_SEAFOOD,멸치,건어물상회
[krikri 크리크리] 그리스 그릭 요거트,유제품,요거트,DAIRY,요거트,krikri 크리크리
[KF365] 1+등급 무항생제 백색 특란,육류/계란,계란,RAW_MEAT,계란,KF365
[기장물산] 간편한끼 한봉씩 기장미역,수산물,미역/다시마,DRIED_SEAFOOD,미역,기장물산
[뉴트리코어] 포스파티딜세린,채소/곡물류,채소,RAW_PRODUCE,기타,뉴트리코어
[고메] 바삭탱글한 칠리새우,간편식,냉동식품,FROZEN_MEAL,칠리새우,고메
[라메르풀라르] 틴케이스 프랑스 전통 쿠키,간식류,과자/스낵,SNACK,쿠키,라메르풀라르
[나무사이로] 하우스 블렌드 드립백,음료,커피/차,BEVERAGE,커피백,나무사이로
[GRN] 분홍이 슬림밸런스&비오틴,기타,기타,UNKNOWN,기타,GRN
[Kim's butcher] 미국산 초이스 찜갈비 (냉동),간편식,냉동식품,FROZEN_MEAL,갈비,Kim's butcher
카라쿠치골드,술,기타 주류,ALCOHOL,청주,카라쿠치
[로아커] 미니스 디스펜서 나폴리타너,간식류,과자/스낵,SNACK,과자,로아커
행복한콩 국산콩 두부 부침용,채소/곡물류,콩/두부,SIMPLE_PROCESSED,두부,행복한콩
[디핀] 단호박 크림 뇨끼,간편식,냉동식품,FROZEN_MEAL,뇨끼,디핀
[대흥] 다이버가 채취한 자연산 해삼,수산물,조개/전복,RAW_SEAFOOD,해삼,대흥
[맥케인] 케이준 후라이,간편식,냉동식품,FROZEN_MEAL,감자튀김,맥케인
[맑은농장] 기운내요 쌍화차,음료,커피/차,BEVERAGE,쌍화차,맑은농장
글렌카담15년,술,기타 주류,ALCOHOL,위스키,글랜카담
[롯데] 키스틱 소시지,육류/계란,가공육(햄/소시지),PROCESSED_MEAT,소시지,롯데
프레스코발디 테누타 카스틸리오니 토스카나,술,와인,ALCOHOL,레드 와인,프레스코발디
1865 마스터 블랜드,술,와인,ALCOHOL,레드 와인,산 페드로
[더오담] 가마솥 누룽지,기타,기타,UNKNOWN,누룽지,더오담
[도리깨침] 열무김치,간편식,반찬류,SIMPLE_PROCESSED,열무김치,도리깨침
[마이시톨] 나의 이노시톨 마이시톨,기타,기타,UNKNOWN,기타,마이시톨
비네티 델 살렌토 졸라 네그로 아마로 (와인),술,와인,ALCOHOL,레드 와인,비네티 델 살렌토
[레미레미] 땅콩버터 미니팩,유제품,버터/생크림,DAIRY,땅콩 버터,레미레미
[글루어트] 애플사이다비니거,조미료,양념/소스,SAUCE_SEASONING,애플사이다비니거,글루어트
[둥구나무] 특선 채소 영양찜,간편식,레트로트,RTC_MEAL,레트로트,둥구나무
[델리치오] 호주산 목초육 안심 구이용,육류/계란,소고기,RAW_MEAT,안심,델리치오
[데르뜨] 떠먹는 젤리 오렌지,간식류,디저트/케이크,BAKERY,오렌지 젤리,데르뜨
글렌 모렌지 18년 디 인피니타,술,기타 주류,ALCOHOL,위스키,글렌 모렌지
[La bocca] 부쉬드노엘 (그린),간식류,디저트/케이크,BAKERY,부쉬드노엘,La bocca
[YOZM] 그릭요거트 초코소보로 그래놀라,유제품,요거트,DAIRY,그래놀라,YOZM
[광천김] 바삭바삭 미니 김가루,상온식품,김/자반,DRIED_SEAFOOD,김가루,광천김
[근대골목단팥빵] 쑥아빵,간식류,빵류,BAKERY,단팥빵,근대골목단팥빵
스톨리치나야 솔티드 카라멜,술,기타 주류,ALCOHOL,보드카,스톨리치나야
[김구원선생] 콩나물국 키트,간편식,레트로트,RTC_MEAL,레트로트,김구원선생
[동원] 구운 김밥김,상온식품,김/자반,DRIED_SEAFOOD,김밥김,동원
[매일] 허쉬 초콜릿 드링크 딸기,음료,주스,BEVERAGE,초콜릿 우유,매일
[KF365] 파프리카,채소/곡물류,채소,RAW_PRODUCE,파프리카,KF365
[근대골목단팥빵] 미니 맘모스빵,간식류,빵류,BAKERY,맘모스빵,근대골목단팥빵
넘버3 런던 드라이 진,술,기타 주류,ALCOHOL,진,베리 브로스 앤 러드
헤이먼스 올드 톰 진,술,기타 주류,ALCOHOL,진,헤이먼스
클라로스쿠로 그란 말벡,술,와인,ALCOHOL,레드 와인,클라로스쿠로
벨로틴피넛버터초콜렛,간식류,초콜릿/사탕,SNACK,초콜릿,벨로틴
판티니 에디찌오네,술,와인,ALCOHOL,레드 와인,판티니
[누테이블] 소고기 메추리알 장조림,간편식,반찬류,SIMPLE_PROCESSED,메추리알 장조림,누테이블
[맛의명태자] 구워먹는 명란 (냉동),수산물,어란,RAW_SEAFOOD,명란,맛의명태자
[KF365] 간편한 손질오징어 (냉동),수산물,오징어/문어,RAW_SEAFOOD,오징어,KF365
[노포기행]포천식 양념 소 불갈비,육류/계란,가공육(햄/소시지),PROCESSED_MEAT,소갈비,노포기행
아스코니 솔 네그루 까베르네 소비뇽,술,와인,ALCOHOL,레드 와인,아스코니
타이거오리지널,술,맥주,ALCOHOL,맥주,타이거
[니아르] 가르시니아 블루베리맛,기타,기타,UNKNOWN,다이어트캔디,니아르
[군산 이성당] 미니 쌀크루아상,간식류,빵류,BAKERY,크루아상,군산 이성당
[Kurly's] 샌드위치용 달걀감자 샐러드,간편식,샐러드팩,RTC_MEAL,감자 샐러드,Kurly's
[대천김] 프리미엄 곱창 전장김,상온식품,김/자반,DRIED_SEAFOOD,김,대천김
[농협] 우리쌀 통가래떡,간식류,떡,SNACK,가래떡,농협
[Kurly's] 감칠맛 볶음김치,간편식,반찬류,SIMPLE_PROCESSED,볶음김치,Kurly's
[그래인스 쿠키] 애플시나몬 쿠키,간식류,과자/스낵,SNACK,쿠키,그래인스 쿠키
[기네스0.0] 논알콜 음료,술,맥주,ALCOHOL,맥주,기네스
폰타나프레다 브라케토 다퀴,술,와인,ALCOHOL,스파클링 와인,폰타나프레다
[도나스데이] 깨찰슈,간식류,빵류,BAKERY,슈,도나스데이
포 스타 바이 골든 블랑 로제,술,와인,ALCOHOL,스파클링 와인,비토 알베르티
[마요라] 코피코 커피캔디 지퍼백,간식류,초콜릿/사탕,SNACK,커피캔디,마요라
[대천김] 재래 전장김,상온식품,김/자반,DRIED_SEAFOOD,김,대천김
[건어수라] 육수용 황태머리,수산물,멸치/건어물,DRIED_SEAFOOD,황태,건어수라
[뉴믹스] 에어 오리지널맛 저당 커피 파우더 스틱,음료,커피/차,BEVERAGE,커피가루,뉴믹스
[데르뜨] 매일유업 우유 케이크 꾸미기 세트,간식류,디저트/케이크,BAKERY,케이크,데르뜨
[LOWIDE] 로와이드 소금빵,간식류,빵류,BAKERY,소금빵,LOWIDE
[광천김] 오가닉김 도시락김,상온식품,김/자반,DRIED_SEAFOOD,김,광천김
[KF365] 1+ 한우 등심 (냉장),육류/계란,소고기,RAW_MEAT,등심,KF365
[THE짙은] YBD 앞다리 구이용 (냉장),육류/계란,돼지고기,RAW_MEAT,앞다리살,THE짙은
[델리치오] 와규 햄버거 패티,육류/계란,가공육(햄/소시지),PROCESSED_MEAT,패티,델리치오
